cluster_number,day_of_week,month_of_year,department_id,demand,meand_demand,std_demand
1,0,0,10,48,195.5714286,116.1218572
1,0,0,10,189,195.5714286,116.1218572
1,0,0,10,314,195.5714286,116.1218572
1,0,0,10,200,195.5714286,116.1218572
1,0,0,10,133,195.5714286,116.1218572
1,0,0,10,107,195.5714286,116.1218572
1,0,0,10,378,195.5714286,116.1218572
2,0,0,11,382,192.5,135.1809898
2,0,0,11,247,192.5,135.1809898
2,0,0,11,292,192.5,135.1809898
2,0,0,11,33,192.5,135.1809898
2,0,0,11,90,192.5,135.1809898
2,0,0,11,111,192.5,135.1809898
3,0,0,12,201,96.5,58.59948805
3,0,0,12,31,96.5,58.59948805
3,0,0,12,114,96.5,58.59948805
3,0,0,12,96,96.5,58.59948805
3,0,0,12,62,96.5,58.59948805
3,0,0,12,75,96.5,58.59948805
4,0,0,13,34,47.5,24.36527584
4,0,0,13,84,47.5,24.36527584
4,0,0,13,35,47.5,24.36527584
4,0,0,13,37,47.5,24.36527584
5,0,0,14,43,23.85714286,15.48578457
5,0,0,14,33,23.85714286,15.48578457
5,0,0,14,5,23.85714286,15.48578457
5,0,0,14,14,23.85714286,15.48578457
5,0,0,14,42,23.85714286,15.48578457
5,0,0,14,20,23.85714286,15.48578457
5,0,0,14,10,23.85714286,15.48578457
6,0,0,15,26,43.625,21.77769173
6,0,0,15,10,43.625,21.77769173
6,0,0,15,82,43.625,21.77769173
6,0,0,15,45,43.625,21.77769173
6,0,0,15,42,43.625,21.77769173
6,0,0,15,62,43.625,21.77769173
6,0,0,15,36,43.625,21.77769173
6,0,0,15,46,43.625,21.77769173
7,0,0,16,58,111,65.12756713
7,0,0,16,56,111,65.12756713
7,0,0,16,105,111,65.12756713
7,0,0,16,78,111,65.12756713
7,0,0,16,226,111,65.12756713
7,0,0,16,143,111,65.12756713
8,0,0,17,34,45.5,21.67717694
8,0,0,17,63,45.5,21.67717694
8,0,0,17,70,45.5,21.67717694
8,0,0,17,20,45.5,21.67717694
8,0,0,17,61,45.5,21.67717694
8,0,0,17,25,45.5,21.67717694
9,0,0,18,164,155.2,45.48846008
9,0,0,18,174,155.2,45.48846008
9,0,0,18,90,155.2,45.48846008
9,0,0,18,136,155.2,45.48846008
9,0,0,18,212,155.2,45.48846008
10,0,0,19,6,8,9.521904571
10,0,0,19,2,8,9.521904571
10,0,0,19,2,8,9.521904571
10,0,0,19,22,8,9.521904571
11,0,0,2,324,213.5714286,155.8042117
11,0,0,2,176,213.5714286,155.8042117
11,0,0,2,214,213.5714286,155.8042117
11,0,0,2,505,213.5714286,155.8042117
11,0,0,2,50,213.5714286,155.8042117
11,0,0,2,121,213.5714286,155.8042117
11,0,0,2,105,213.5714286,155.8042117
12,0,0,20,24,23.71428571,10.95010328
12,0,0,20,26,23.71428571,10.95010328
12,0,0,20,17,23.71428571,10.95010328
12,0,0,20,13,23.71428571,10.95010328
12,0,0,20,11,23.71428571,10.95010328
12,0,0,20,35,23.71428571,10.95010328
12,0,0,20,40,23.71428571,10.95010328
13,0,0,21,3,6,1.870828693
13,0,0,21,7,6,1.870828693
13,0,0,21,6,6,1.870828693
13,0,0,21,6,6,1.870828693
13,0,0,21,8,6,1.870828693
14,0,0,22,15,14,6.745368782
14,0,0,22,4,14,6.745368782
14,0,0,22,14,14,6.745368782
14,0,0,22,14,14,6.745368782
14,0,0,22,23,14,6.745368782
15,0,0,23,20,37,28.58321186
15,0,0,23,21,37,28.58321186
15,0,0,23,70,37,28.58321186
16,0,0,3,14,10.85714286,4.84522347
16,0,0,3,10,10.85714286,4.84522347
16,0,0,3,19,10.85714286,4.84522347
16,0,0,3,10,10.85714286,4.84522347
16,0,0,3,10,10.85714286,4.84522347
16,0,0,3,3,10.85714286,4.84522347
16,0,0,3,10,10.85714286,4.84522347
17,0,0,4,11,11.8,5.263078947
17,0,0,4,3,11.8,5.263078947
17,0,0,4,15,11.8,5.263078947
17,0,0,4,16,11.8,5.263078947
17,0,0,4,14,11.8,5.263078947
18,0,0,5,89,130.125,76.7992513
18,0,0,5,146,130.125,76.7992513
18,0,0,5,78,130.125,76.7992513
18,0,0,5,110,130.125,76.7992513
18,0,0,5,33,130.125,76.7992513
18,0,0,5,120,130.125,76.7992513
18,0,0,5,286,130.125,76.7992513
